epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.28778,1.27563,3.40262,1.7124,0.00325,0.63889,0.14769,0.09983,0.99825,3.43613,1.67511,0.0001429,0.0001429,0.0001429
2,5.16633,0.95741,3.02549,1.44714,0.0037,0.63889,0.6182,0.23454,0.99542,3.32767,1.75176,0.000294148,0.000294148,0.000294148
3,6.97735,0.76117,2.22647,1.22593,0.00656,0.63889,0.60258,0.24123,1.12397,3.12707,1.58853,0.000439172,0.000439172,0.000439172
4,9.29189,0.6744,1.52116,1.12246,0.01344,0.63889,0.34242,0.23694,0.95323,3.12451,1.45285,0.00057797,0.00057797,0.00057797
5,11.4291,0.64606,1.23867,1.11708,0.03131,0.63889,0.1442,0.12425,1.01148,3.40279,1.53291,0.000710545,0.000710545,0.000710545
6,13.4915,0.60485,1.14162,1.10244,0.97104,0.30556,0.34252,0.23514,0.89514,2.34042,1.44368,0.000836894,0.000836894,0.000836894
7,15.2926,0.61471,1.04737,1.05937,0.97082,0.30556,0.65064,0.47515,0.72,2.14197,1.31579,0.000957018,0.000957018,0.000957018
8,17.2093,0.55659,1.12244,1.07226,0.03494,0.97222,0.43351,0.33526,1.04141,2.91645,1.28133,0.00107092,0.00107092,0.00107092
9,18.9748,0.60743,1.29011,1.08339,0.03494,0.97222,0.43351,0.33526,1.04141,2.91645,1.28133,0.00117859,0.00117859,0.00117859
10,21.0321,0.57505,1.1368,1.0656,0.70707,0.63889,0.646,0.47909,0.79301,3.73335,1.20724,0.00117435,0.00117435,0.00117435
11,23.6126,0.58063,1.11835,1.09513,0.65503,0.63889,0.96861,0.65195,0.53025,6.74658,1.05583,0.00114606,0.00114606,0.00114606
12,25.7924,0.54695,1.13372,1.10877,0.65503,0.63889,0.96861,0.65195,0.53025,6.74658,1.05583,0.00111776,0.00111776,0.00111776
13,27.7333,0.48918,0.99189,1.0365,0.68713,0.63889,0.67038,0.54902,0.54939,1.87391,1.11087,0.00108947,0.00108947,0.00108947
14,29.6655,0.47476,0.94952,1.0289,0.9327,0.63889,0.641,0.56585,0.54906,0.88154,1.10048,0.00106118,0.00106118,0.00106118
15,31.6823,0.43818,0.9073,0.97882,0.9327,0.63889,0.641,0.56585,0.54906,0.88154,1.10048,0.00103288,0.00103288,0.00103288
16,33.8008,0.40198,0.83615,0.96422,0.93591,0.63889,0.63012,0.6074,0.38574,0.83814,0.96608,0.00100459,0.00100459,0.00100459
17,35.6247,0.4306,0.87299,0.99913,0.9314,0.63889,0.63697,0.58998,0.55447,0.92427,1.16678,0.000976293,0.000976293,0.000976293
18,37.275,0.4026,0.82982,0.99324,0.93381,0.63889,0.63919,0.62077,0.4203,0.88884,1.01205,0.000947999,0.000947999,0.000947999
19,38.7693,0.44419,0.93789,1.03317,0.93381,0.63889,0.63919,0.62077,0.4203,0.88884,1.01205,0.000919704,0.000919704,0.000919704
20,40.3109,0.42488,0.90264,0.9998,0.93854,0.63889,0.64616,0.59733,0.4508,0.83551,0.99671,0.00089141,0.00089141,0.00089141
21,41.8819,0.39987,0.8431,1.00404,0.94149,0.63889,0.65158,0.63316,0.38068,0.75894,0.95326,0.000863116,0.000863116,0.000863116
22,43.5617,0.35878,0.75481,0.94132,0.94149,0.63889,0.65158,0.63316,0.38068,0.75894,0.95326,0.000834822,0.000834822,0.000834822
23,45.1915,0.3741,0.85853,0.98524,0.94176,0.63889,0.64751,0.62678,0.33869,0.77409,0.95487,0.000806528,0.000806528,0.000806528
24,46.8738,0.34672,0.76169,0.96528,0.94166,0.63889,0.94883,0.75341,0.36372,0.84476,0.96703,0.000778233,0.000778233,0.000778233
25,48.5958,0.32802,0.74731,0.9562,0.94166,0.63889,0.94883,0.75341,0.36372,0.84476,0.96703,0.000749939,0.000749939,0.000749939
26,50.4621,0.31985,0.81024,0.99079,0.941,0.63889,0.95624,0.75849,0.36013,0.80806,0.95479,0.000721645,0.000721645,0.000721645
27,52.336,0.28237,0.67324,0.93074,0.94106,0.63889,0.95397,0.78814,0.30958,0.65503,0.90558,0.000693351,0.000693351,0.000693351
28,54.1869,0.31057,0.72238,0.93782,0.94106,0.63889,0.95397,0.78814,0.30958,0.65503,0.90558,0.000665057,0.000665057,0.000665057
29,56.2051,0.29938,0.67966,0.91943,0.94151,0.63889,0.94959,0.7539,0.29351,0.69741,0.89957,0.000636762,0.000636762,0.000636762
30,57.6535,0.28043,0.63347,0.9014,0.94179,0.63889,0.70567,0.6318,0.34456,0.74914,0.89506,0.000608468,0.000608468,0.000608468
31,59.0378,0.28894,0.71258,0.93195,0.94179,0.63889,0.70567,0.6318,0.34456,0.74914,0.89506,0.000580174,0.000580174,0.000580174
32,60.5717,0.26365,0.62622,0.88694,0.94178,0.63889,0.68961,0.61805,0.3381,0.75279,0.92517,0.00055188,0.00055188,0.00055188
33,62.067,0.25882,0.57997,0.91269,0.94154,0.63889,0.92774,0.76191,0.29231,0.61284,0.89734,0.000523586,0.000523586,0.000523586
34,63.8837,0.27668,0.70195,0.94912,0.94095,0.63889,0.94665,0.78081,0.25974,0.6732,0.88536,0.000495291,0.000495291,0.000495291
35,65.4949,0.24184,0.56755,0.88617,0.94095,0.63889,0.94665,0.78081,0.25974,0.6732,0.88536,0.000466997,0.000466997,0.000466997
36,67.0569,0.28083,0.71688,0.96268,0.94054,0.63889,0.92264,0.75681,0.23566,0.67496,0.88963,0.000438703,0.000438703,0.000438703
37,68.7258,0.23333,0.59943,0.88772,0.94098,0.63889,0.95925,0.79474,0.21789,0.64874,0.86622,0.000410409,0.000410409,0.000410409
38,70.2279,0.28048,0.72082,0.92854,0.94098,0.63889,0.95925,0.79474,0.21789,0.64874,0.86622,0.000382115,0.000382115,0.000382115
39,71.7624,0.22463,0.58398,0.89554,0.94118,0.63889,0.64533,0.62803,0.23205,0.66093,0.86299,0.00035382,0.00035382,0.00035382
40,73.4833,0.24096,0.60464,0.89351,0.94148,0.63889,0.68718,0.64463,0.27006,0.66623,0.87889,0.000325526,0.000325526,0.000325526
41,78.1931,0.23766,0.87066,0.88022,0.94148,0.63889,0.68718,0.64463,0.27006,0.66623,0.87889,0.000297232,0.000297232,0.000297232
42,79.6236,0.25702,0.89901,0.90245,0.94156,0.63889,0.68969,0.64734,0.30519,0.67323,0.88754,0.000268938,0.000268938,0.000268938
43,81.1398,0.29569,0.95305,0.94549,0.94145,0.63889,0.70216,0.6601,0.30405,0.65034,0.88704,0.000240644,0.000240644,0.000240644
44,83.5527,0.24614,0.84831,0.8926,0.94145,0.63889,0.70216,0.6601,0.30405,0.65034,0.88704,0.000212349,0.000212349,0.000212349
45,85.9297,0.26369,0.93283,0.94318,0.94126,0.63889,0.68189,0.64014,0.29979,0.65374,0.89301,0.000184055,0.000184055,0.000184055
46,87.9678,0.24117,0.86092,0.92139,0.94104,0.63889,0.63601,0.62202,0.2728,0.6767,0.90152,0.000155761,0.000155761,0.000155761
47,89.9409,0.23096,0.79612,0.8984,0.94104,0.63889,0.63601,0.62202,0.2728,0.6767,0.90152,0.000127467,0.000127467,0.000127467
48,92.1001,0.22655,0.82329,0.90264,0.94102,0.63889,0.65006,0.6262,0.23358,0.64986,0.88466,9.91726e-05,9.91726e-05,9.91726e-05
49,93.9178,0.21386,0.78927,0.89047,0.94102,0.63889,0.68847,0.64686,0.22046,0.67679,0.87737,7.08784e-05,7.08784e-05,7.08784e-05
50,95.7539,0.18837,0.76376,0.86695,0.94101,0.63889,0.67899,0.63739,0.21393,0.69363,0.87968,4.25842e-05,4.25842e-05,4.25842e-05
